ACCOUNT,DAY_OPENED,BAD_FLAG
317,20170122,0
318,20180709,0
319,20190802,0
320,20161205,0
321,20180720,0
322,20190616,0
323,20190620,0
324,20180719,0
325,20170313,0
326,20191224,0
327,20190516,0
328,20170822,0
329,20170421,0
330,20200117,0
331,20191010,0
332,20190222,0
333,20190517,0
334,20170228,0
335,20190621,0
336,20160122,0
337,20190111,0
338,20191211,0
339,20180301,0
340,20190528,0
341,20190514,0
342,20190429,0
343,20190919,0
344,20191231,0
345,20190414,0
346,20190617,0
347,20160531,0
348,20160920,0
349,20190617,0
350,20170720,0
351,20190620,0
352,20190514,0
353,20190122,0
354,20190426,0
355,20180130,0
356,20161121,0
357,20160327,0
358,20190912,0
359,20171010,0
360,20190521,0
361,20180929,0
362,20160810,0
363,20160426,0
364,20190722,0
365,20190508,1
366,20191114,0
367,20190822,0
368,20151130,0
369,20190610,0
370,20161220,0
371,20180921,0
372,20181011,0
373,20181207,0
374,20190513,0
375,20161201,0
376,20160420,0
377,20190619,0
378,20190827,0
379,20191030,0
380,20190731,0
381,20190614,1
382,20171207,0
383,20190718,0
384,20190623,0
385,20191129,0
386,20190614,0
387,20190915,0
388,20190729,0
389,20160407,0
390,20170828,0
391,20160727,0
392,20170914,0
393,20181220,0
394,20180428,0
395,20190615,0
396,20180523,0
397,20160920,0
398,20180828,0
399,20170405,0
400,20190730,0
401,20170612,0
402,20171206,0
403,20181022,0
404,20160902,0
405,20190626,0
406,20190222,0
407,20190729,0
408,20190428,0
409,20180809,0
410,20170421,0
411,20160822,0
412,20181130,0
413,20170413,0
414,20190805,0
415,20190625,0
416,20190610,0
417,20190616,0
418,20170831,0
419,20190429,0
420,20180814,0
421,20160526,0
422,20161116,0
423,20190626,1
424,20190505,0
425,20160727,0
426,20190707,0
427,20190829,0
428,20190605,0
429,20161123,0
430,20181110,0
431,20190829,0
432,20190509,0
433,20170405,0
434,20160812,0
435,20180604,0
436,20170321,0
437,20190813,0
438,20191209,0
439,20160920,0
440,20190516,0
441,20181202,0
442,20190515,0
443,20170925,0
444,20180921,0
445,20170725,0
446,20170331,0
447,20190901,0
448,20180403,0
449,20190827,0
450,20160510,0
451,20191217,1
452,20190430,0
453,20190916,0
454,20160830,0
455,20190221,0
456,20181125,1
457,20180115,0
458,20200112,1
459,20190504,1
460,20180302,0
461,20190802,0
462,20190906,0
463,20180929,0
464,20170606,0
465,20190411,0
466,20190818,0
467,20190503,1
468,20170921,0
469,20191218,1
470,20191213,1
471,20191112,0
472,20181102,0
473,20160504,0
474,20190814,0
475,20190607,0
476,20170323,0
477,20170621,0
478,20160506,0
479,20181107,0
480,20190804,0
481,20190601,0
482,20190509,0
483,20180622,0
484,20190430,0
485,20190917,0
486,20181011,0
487,20170310,0
488,20161202,0
489,20190128,0
490,20170717,0
491,20190118,0
492,20181106,0
493,20190309,0
494,20160929,0
495,20190618,0
496,20190731,0
497,20170609,0
498,20170311,0
499,20190428,0
500,20191013,0
501,20170802,0
502,20190717,0
503,20181019,0
504,20190518,0
505,20190505,1
506,20190721,0
507,20190509,0
508,20190802,0
509,20190414,0
510,20190504,0
511,20180802,0
512,20180224,0
513,20190617,0
514,20190506,0
515,20170810,0
516,20170717,0
517,20190404,0
518,20170927,1
519,20160106,0
520,20190226,0
521,20180503,0
522,20171219,0
523,20151215,0
524,20170928,0
525,20190618,1
526,20190510,0
527,20190428,0
528,20190221,0
529,20191127,1
530,20160806,0
531,20180228,0
532,20191120,0
533,20191031,0
534,20160215,0
535,20190808,0
536,20170803,0
537,20160427,0
538,20190923,0
539,20160412,0
540,20190311,0
541,20190430,0
542,20171124,0
543,20190515,1
544,20190622,0
545,20190313,0
546,20190502,0
547,20190504,0
548,20190827,0
549,20160923,0
550,20180629,0
551,20180906,0
552,20190311,0
553,20190808,0
554,20151228,0
555,20160229,0
556,20181022,0
557,20161128,0
558,20170712,0
559,20170930,0
560,20160114,0
561,20190329,0
562,20190613,1
563,20181225,0
564,20190611,0
565,20190117,0
566,20190901,0
567,20180531,0
568,20190604,0
569,20181012,0
570,20190523,0
571,20190509,0
572,20190717,0
573,20190722,0
574,20190506,0
575,20181108,0
576,20190730,0
577,20171030,0
578,20170222,0
579,20170522,0
580,20190630,0
581,20180921,0
582,20190505,0
583,20180929,0
584,20160323,0
585,20190604,0
586,20180925,0
587,20180105,0
588,20160225,0
589,20161110,0
590,20181011,0
591,20190617,0
592,20170824,0
593,20190503,0
594,20190219,0
595,20160831,0
596,20190702,0
597,20190329,0
598,20161103,0
599,20181108,0
600,20160612,0
601,20190722,0
602,20190222,0
603,20190805,0
604,20171123,0
605,20190912,0
606,20170621,0
607,20180302,0
608,20190516,0
609,20190722,0
610,20171009,0
611,20190326,0
612,20190526,1
613,20190718,0
614,20190516,0
615,20190618,0
616,20170623,0
617,20170324,0
618,20190627,0
619,20190502,0
620,20190202,0
621,20180202,0
622,20190521,0
623,20161130,0
624,20160922,0
625,20161021,0
626,20190614,0
627,20151224,0
628,20171113,0
629,20191112,0
630,20200115,0
631,20170414,0
632,20171214,0
633,20160831,0
634,20190615,0
635,20190516,1
636,20190506,0
637,20180207,0
638,20190702,0
639,20190617,0
640,20160425,0
641,20190429,0
642,20190510,0
643,20191225,0
644,20190110,1
645,20190602,0
646,20190311,0
647,20190802,0
648,20190719,0
649,20190516,0
650,20190616,0
651,20191108,0
652,20161012,0
653,20190412,0
654,20190616,0
655,20160728,0
656,20200116,0
657,20171027,0
658,20170426,0
659,20190822,0
660,20200108,0
661,20190417,0
662,20170901,0
663,20181022,0
664,20190516,0
665,20190615,0
666,20190421,0
667,20190604,0
668,20190722,0
669,20181217,0
670,20181112,0
671,20200114,0
672,20181223,1
673,20151230,0
674,20190614,0
675,20180729,0
676,20170424,0
677,20190404,0
678,20160930,0
679,20200106,0
680,20190917,0
681,20180606,0
682,20170406,0
683,20170320,0
684,20190528,0
685,20190531,0
686,20161219,0
687,20170315,0
688,20190509,0
689,20181031,0
690,20181209,0
691,20160421,0
692,20170222,0
693,20190912,0
694,20190812,1
695,20151223,0
696,20160519,0
697,20170929,0
698,20190614,0
699,20190823,0
700,20190423,0
701,20190430,0
702,20160107,0
703,20170615,0
704,20180117,0
705,20190715,0
706,20171222,0
707,20151209,0
708,20171103,0
709,20190717,0
710,20170616,0
711,20190510,0
712,20180316,0
713,20190612,0
714,20170109,0
715,20160719,0
716,20181012,0
717,20190227,1
718,20181023,0
719,20180720,0
720,20190628,0
721,20171031,0
722,20190605,0
723,20170322,0
724,20160817,0
725,20190509,1
726,20190226,0
727,20190525,0
728,20190721,0
729,20190826,0
730,20160530,0
731,20190520,0
732,20160929,0
733,20190505,0
734,20200228,0
735,20170929,0
736,20190520,0
737,20170911,0
738,20180918,0
739,20181110,0
740,20151229,0
741,20190610,0
742,20190430,0
743,20190802,0
744,20190515,0
745,20170327,0
746,20170925,0
747,20170524,0
748,20190618,1
749,20160114,0
750,20180422,0
751,20161216,0
752,20190508,1
753,20170831,0
754,20160708,0
755,20200117,0
756,20160826,0
757,20190509,1
758,20190214,0
759,20190614,0
760,20170927,0
761,20190711,0
762,20191028,0
763,20170626,0
764,20190402,0
765,20170907,0
766,20191020,0
767,20181212,0
768,20190327,0
769,20190503,0
770,20190713,0
771,20180509,0
772,20180803,0
773,20190426,0
774,20190721,0
775,20190313,0
776,20180511,0
777,20161103,0
778,20190711,1
779,20180928,0
780,20190709,1
781,20160913,0
782,20181125,0
783,20190904,0
784,20190722,0
785,20181128,0
786,20170627,0
787,20190823,0
788,20190505,1
789,20160426,0
790,20190116,0
791,20161213,0
792,20190108,0
793,20200122,0
794,20160829,0
795,20170914,0
796,20171220,0
797,20151221,0
798,20190102,0
799,20160127,0
800,20181220,0
801,20190708,0
802,20190510,0
803,20190801,0
804,20151208,0
805,20181129,0
806,20161021,0
807,20190409,0
808,20160519,0
809,20160128,0
810,20190720,0
811,20160729,0
812,20190730,0
813,20160930,0
814,20170821,0
815,20190504,1
816,20190416,0
817,20190812,0
818,20181017,0
819,20190704,0
820,20170615,0
821,20190818,0
822,20190719,0
823,20190515,0
824,20190906,0
825,20170417,0
826,20190515,0
827,20180516,0
828,20160618,0
829,20190719,0
830,20190625,0
831,20190723,0
832,20190614,0
833,20200115,0
834,20190506,0
835,20200221,0
836,20170919,0
837,20180722,0
838,20180826,0
839,20180112,0
840,20190625,0
841,20190717,0
842,20160913,0
843,20190426,0
844,20191220,0
845,20171205,0
846,20190826,0
847,20191010,0
848,20171129,0
849,20190502,1
850,20170817,0
851,20181105,0
852,20161216,0
853,20191126,0
854,20181224,0
855,20190103,0
856,20171130,0
857,20190521,0
858,20170929,0
859,20190603,1
860,20170329,0
861,20190614,0
862,20190624,0
863,20190724,0
864,20171019,0
865,20180921,0
866,20181011,0
867,20170703,0
868,20190506,0
869,20190509,0
870,20200107,0
871,20171129,0
872,20180622,0
873,20190805,0
874,20190618,1
875,20160810,0
876,20190824,0
877,20190604,0
878,20170411,0
879,20190614,0
880,20180613,0
881,20190428,0
882,20190105,0
883,20180724,0
884,20160913,0
885,20180205,0
886,20190616,0
887,20151209,0
888,20160729,0
889,20190719,1
890,20170505,0
891,20191017,0
892,20190618,0
893,20190728,0
894,20160825,0
895,20190311,0
896,20190531,0
897,20170608,0
898,20190506,1
899,20190927,0
900,20190709,0
901,20181025,0
902,20170327,0
903,20190513,0
904,20190509,0
905,20190403,0
906,20180926,0
907,20160816,0
908,20181102,0
909,20170908,0
910,20190509,0
911,20160831,0
912,20190516,0
913,20180313,0
914,20160415,0
915,20190620,1
916,20190614,1
917,20170106,0
918,20161214,0
919,20180115,0
920,20180131,0
921,20190504,1
922,20190724,0
923,20180828,0
924,20190410,1
925,20190510,0
926,20161130,0
927,20170904,0
928,20181009,0
929,20180528,0
930,20161201,0
931,20190509,0
932,20190723,0
933,20180601,0
934,20190731,0
935,20170406,0
936,20160108,0
937,20160115,0
938,20171113,0
939,20170222,0
940,20160411,0
941,20190621,0
942,20180113,0
943,20190621,0
944,20190515,0
945,20190504,0
946,20190827,0
947,20190516,0
948,20190604,0
949,20170818,0
950,20190925,0
951,20181130,0
952,20181212,1
953,20190515,0
954,20190129,0
955,20190410,0
956,20160921,0
957,20190506,0
958,20190804,0
959,20190429,0
960,20171011,0
961,20170421,0
962,20171010,0
963,20190124,0
964,20190716,1
965,20170208,0
966,20170509,0
967,20170627,0
968,20190727,0
969,20190715,0
970,20190313,0
971,20191107,0
972,20190819,1
973,20161206,0
974,20191020,0
975,20170310,0
976,20190718,0
977,20181225,0
978,20190307,0
979,20160819,0
980,20181227,0
981,20170914,0
982,20180731,0
983,20190718,0
984,20190725,0
985,20180719,0
986,20190710,0
987,20160824,0
988,20161116,1
989,20160929,0
990,20180519,0
991,20170712,0
992,20191105,0
993,20190628,0
994,20180727,0
995,20190717,0
996,20170316,0
997,20190603,0
998,20160923,0
999,20190507,0
1000,20170605,0
1001,20190429,0
1002,20171030,0
1003,20190616,0
1004,20170420,0
1005,20191028,0
1006,20170314,0
1007,20190510,0
1008,20181123,0
1009,20190517,0
1010,20181114,0
1011,20190619,0
1012,20190612,0
1013,20190807,0
1014,20190819,0
1015,20170306,0
1016,20190602,0
1017,20190815,0
1018,20160513,0
1019,20190516,0
1020,20170714,0
1021,20181029,0
1022,20180913,0
1023,20190627,0
1024,20160415,0
1025,20190521,0
1026,20151215,0
1027,20190426,1
1028,20190527,0
1029,20170504,0
1030,20190103,0
1031,20161228,0
1032,20190820,0
1033,20171213,0
1034,20151210,0
1035,20191114,0
1036,20190507,0
1037,20190505,0
1038,20190901,0
1039,20180111,0
1040,20160601,0
1041,20190509,0
1042,20190719,0
1043,20190521,0
1044,20190627,0
1045,20190812,1
1046,20190613,1
1047,20160812,1
1048,20170620,0
1049,20171201,0
1050,20190816,0
1051,20160505,1
1052,20181220,0
1053,20190814,0
1054,20181104,0
1055,20160719,1
1056,20161014,0
1057,20191029,0
1058,20170330,0
1059,20190719,0
1060,20181118,0
1061,20181103,0
1062,20170621,0
1063,20180820,0
1064,20190509,0
1065,20161117,0
1066,20191030,1
1067,20170623,0
1068,20190509,0
1069,20190426,0
1070,20181213,0
1071,20171128,0
1072,20190928,1
1073,20160909,0
1074,20190814,0
1075,20190611,0
1076,20190114,0
1077,20180509,0
1078,20161008,0
1079,20190622,0
1080,20170630,0
1081,20190820,0
1082,20190328,0
1083,20171016,0
1084,20191203,0
1085,20170326,0
1086,20190703,0
1087,20190729,0
1088,20190521,1
1089,20190524,0
1090,20180920,0
1091,20190718,0
1092,20191005,0
1093,20190821,0
1094,20160421,0
1095,20190714,0
1096,20190429,0
1097,20191216,0
1098,20180302,0
1099,20190116,0
1100,20171121,0
1101,20181114,0
1102,20191019,0
1103,20171110,0
1104,20190911,0
1105,20180829,0
1106,20180202,0
1107,20181206,1
1108,20171020,0
1109,20180830,0
1110,20171122,0
1111,20190616,0
1112,20190419,0
1113,20191119,0
1114,20180208,0
1115,20170626,0
1116,20190611,0
1117,20160125,0
1118,20170901,0
1119,20190430,0
1120,20190724,0
1121,20200103,0
1122,20171204,0
1123,20171227,0
1124,20181101,0
1125,20181203,0
1126,20180622,0
1127,20161230,0
1128,20190112,0
1129,20180319,0
1130,20170126,0
1131,20180709,0
1132,20190516,0
1133,20160512,0
1134,20191104,0
1135,20190131,0
1136,20170605,0
1137,20190502,0
1138,20171125,0
1139,20190830,0
1140,20171123,0
1141,20190909,0
1142,20190528,0
1143,20170710,0
1144,20160504,0
1145,20190529,1
1146,20190329,0
1147,20181204,0
1148,20190604,1
1149,20160216,0
1150,20190505,0
1151,20181016,0
1152,20190625,0
1153,20170321,0
1154,20191228,0
1155,20190708,0
1156,20151221,0
1157,20190703,0
1158,20190509,0
1159,20190820,0
1160,20190228,0
1161,20190220,0
1162,20191011,0
1163,20190821,1
1164,20180930,0
1165,20190618,0
1166,20180427,0
1167,20181010,0
1168,20160926,0
1169,20190610,0
1170,20190510,0
1171,20190614,0
1172,20170217,0
1173,20190428,0
1174,20181011,1
1175,20180907,0
1176,20190118,0
1177,20190825,0
1178,20190718,0
1179,20190805,0
1180,20190906,0
1181,20161227,0
1182,20190616,0
1183,20190824,0
1184,20190708,0
1185,20200224,0
1186,20170410,0
1187,20190521,0
1188,20180327,0
1189,20160926,0
1190,20160205,0
1191,20190226,0
1192,20190201,0
1193,20191107,0
1194,20170426,0
1195,20170329,0
1196,20190709,0
1197,20180724,0
1198,20151217,0
1199,20181102,0
1200,20190510,0
1201,20170425,0
1202,20190617,0
1203,20160115,0
1204,20190724,0
1205,20190910,0
1206,20160407,0
1207,20160616,0
1208,20170411,0
1209,20161026,0
1210,20190424,0
1211,20190618,0
1212,20170724,0
1213,20190516,0
1214,20190510,0
1215,20170510,0
1216,20181119,0
1217,20180418,0
1218,20171129,0
1219,20190527,0
1220,20181023,0
1221,20190613,0
1222,20160406,0
1223,20190314,0
1224,20160206,0
1225,20160713,0
1226,20170913,0
1227,20190618,0
1228,20190806,0
1229,20170311,0
1230,20190616,1
1231,20191011,0
1232,20190521,0
1233,20160307,0
1234,20190628,0
1235,20170228,0
1236,20190613,0
1237,20190925,0
1238,20190810,0
1239,20190731,0
1240,20200115,0
1241,20190627,0
1242,20160331,0
1243,20190525,0
1244,20190724,0
1245,20190603,0
1246,20200107,0
1247,20181030,0
1248,20191106,0
1249,20190420,0
1250,20190516,0
1251,20171215,0
1252,20180528,0
1253,20190222,0
1254,20190123,0
1255,20190614,0
1256,20190318,0
1257,20190804,0
1258,20191009,0
1259,20190624,0
1260,20190501,0
1261,20171213,0
1262,20170628,0
1263,20170320,0
1264,20190929,0
1265,20190718,0
1266,20171127,0
1267,20180913,0
1268,20160411,0
1269,20181021,0
1270,20170725,0
1271,20190401,0
1272,20190617,0
1273,20190701,0
1274,20190104,1
1275,20151216,0
1276,20170626,0
1277,20170421,0
1278,20190510,0
1279,20190817,0
1280,20190510,0
1281,20161201,0
1282,20190618,0
1283,20200102,0
1284,20190509,1
1285,20190628,0
1286,20190528,0
1287,20190821,0
1288,20170930,0
1289,20190917,0
1290,20190125,0
1291,20170830,0
1292,20190401,0
1293,20151208,0
1294,20190718,0
1295,20190619,0
1296,20170206,0
1297,20170522,0
1298,20151214,0
1299,20171101,0
1300,20190428,0
1301,20171207,0
1302,20190820,0
1303,20190212,1
1304,20190802,1
1305,20190606,1
1306,20190615,0
1307,20190416,0
1308,20180808,0
1309,20180319,0
1310,20190312,0
1311,20190703,0
1312,20180723,0
1313,20180808,0
1314,20160225,0
1315,20190429,0
1316,20180727,0
1317,20190514,0
1318,20190419,0
1319,20180906,1
1320,20190717,0
1321,20190605,0
1322,20190428,1
1323,20191107,0
1324,20190417,0
1325,20170921,0
1326,20190802,0
1327,20170118,0
1328,20170223,0
1329,20181101,0
1330,20181019,0
1331,20170908,0
1332,20191231,0
1333,20161226,0
1334,20171218,0
1335,20170707,0
1336,20170906,0
1337,20190721,0
1338,20170106,0
1339,20170329,0
1340,20190618,0
1341,20190327,0
1342,20160509,0
1343,20180209,0
1344,20160504,0
1345,20190924,0
1346,20160728,0
1347,20190109,1
1348,20181012,0
1349,20180514,0
1350,20200122,0
1351,20160510,0
1352,20190725,0
1353,20190802,0
1354,20160421,0
1355,20190624,0
1356,20171221,1
1357,20161210,0
1358,20171225,0
1359,20191219,0
1360,20190306,0
1361,20160616,0
1362,20190130,0
1363,20190116,0
1364,20190422,0
1365,20190611,0
1366,20190513,0
1367,20180817,0
1368,20190617,0
1369,20170224,0
1370,20151224,0
1371,20191224,0
1372,20180914,0
1373,20190706,0
1374,20181022,0
1375,20190526,0
1376,20190326,0
1377,20190129,0
1378,20190521,0
1379,20160822,0
1380,20160714,1
1381,20181209,0
1382,20190506,1
1383,20190909,0
1384,20190530,0
1385,20190827,0
1386,20170605,0
1387,20190616,0
1388,20170620,0
1389,20190615,0
1390,20190506,0
1391,20171102,0
1392,20170323,0
1393,20190731,0
1394,20170328,0
1395,20190725,0
1396,20180417,0
1397,20191206,0
1398,20190625,0
1399,20190516,0
1400,20190505,0
1401,20190326,1
1402,20190528,0
1403,20160511,0
1404,20170301,0
1405,20170705,0
1406,20180213,0
1407,20170515,0
1408,20190428,0
1409,20180604,0
1410,20161025,0
1411,20190824,0
1412,20190615,0
1413,20190717,0
1414,20161124,0
1415,20170915,0
1416,20190809,0
1417,20170518,0
1418,20190529,1
1419,20190725,0
1420,20190507,0
1421,20170614,0
1422,20190404,0
1423,20190409,0
1424,20191030,0
1425,20180507,0
1426,20180113,0
1427,20190430,0
1428,20160201,0
1429,20161027,0
1430,20190607,0
1431,20190912,0
1432,20190810,0
1433,20190602,0
1434,20160615,0
1435,20190717,0
1436,20190811,1
1437,20181109,1
1438,20190728,0
1439,20200116,0
1440,20190504,0
1441,20151222,0
1442,20171013,0
1443,20190726,0
1444,20191113,0
1445,20190728,0
1446,20190308,0
1447,20191101,0
1448,20170203,0
1449,20180416,0
1450,20191118,0
1451,20190524,1
1452,20190429,1
1453,20181214,0
1454,20181022,0
1455,20170927,0
1456,20171226,0
1457,20190804,0
1458,20190716,0
1459,20190414,0
1460,20190829,0
1461,20170809,0
1462,20160201,0
1463,20161215,0
1464,20190501,0
1465,20170628,0
1466,20190618,1
1467,20170526,0
1468,20180919,0
1469,20190705,0
1470,20170413,0
1471,20170613,0
1472,20190505,0
1473,20190509,0
1474,20190517,0
1475,20190627,0
1476,20170105,0
1477,20190730,0
1478,20190429,0
1479,20190720,0
1480,20190703,0
1481,20190517,0
1482,20170929,0
1483,20180214,0
1484,20190814,0
1485,20181026,0
1486,20190614,0
1487,20180720,0
1488,20190429,0
1489,20180530,0
1490,20160918,0
1491,20161008,0
1492,20190726,0
1493,20160718,0
1494,20170608,0
1495,20190305,0
1496,20190927,0
1497,20171030,0
1498,20190516,0
1499,20190629,0
1500,20170124,0
1501,20190426,0
1502,20180129,0
1503,20190428,0
1504,20181224,0
1505,20170707,0
1506,20170725,0
1507,20190426,0
1508,20190524,0
1509,20161107,0
1510,20190220,0
1511,20190925,1
1512,20190606,0
1513,20180830,0
1514,20180809,0
1515,20170124,0
1516,20180116,0
1517,20190803,0
1518,20160623,0
1519,20161230,0
1520,20171219,0
1521,20190419,0
1522,20180926,0
1523,20170401,0
1524,20190114,0
1525,20190429,0
1526,20180731,0
1527,20171207,0
1528,20160725,0
1529,20180814,0
1530,20190618,0
1531,20171201,0
1532,20190328,0
1533,20151210,0
1534,20190430,0
1535,20170527,0
1536,20171020,0
1537,20161024,0
1538,20170518,1
1539,20181225,0
1540,20180108,1
1541,20190731,0
1542,20180916,0
1543,20181218,0
1544,20190726,0
1545,20190318,0
1546,20190305,0
1547,20190824,0
1548,20160505,0
1549,20180227,0
1550,20190505,0
1551,20190908,0
1552,20190619,0
1553,20190604,0
1554,20190804,0
1555,20190604,0
1556,20191226,0
1557,20190508,0
1558,20190615,0
1559,20170719,0
1560,20190719,0
1561,20170823,0
1562,20180619,0
1563,20190630,0
1564,20190828,0
1565,20170519,0
1566,20170302,0
1567,20190103,0
1568,20181017,0
1569,20171030,0
1570,20190826,0
1571,20190520,0
1572,20190809,0
1573,20170831,0
1574,20190917,1
1575,20170725,0
1576,20180123,0
1577,20170831,0
1578,20190428,0
1579,20190124,0
1580,20190619,0
1581,20170706,0
1582,20190610,0
1583,20180622,0
1584,20190409,0
1585,20190817,0
1586,20180127,0
1587,20180113,0
1588,20190410,0
1589,20190505,0
1590,20190614,1
1591,20190725,0
1592,20180420,0
1593,20171011,0
1594,20190722,1
1595,20190614,0
1596,20190720,0
1597,20190125,0
1598,20171113,0
1599,20190706,0
1600,20190607,0
1601,20190802,0
1602,20190423,1
1603,20170717,0
1604,20160824,0
1605,20151214,0
1606,20190903,0
1607,20181205,0
1608,20180830,0
1609,20190620,0
1610,20190723,0
1611,20180316,1
1612,20160214,0
1613,20151221,0
1614,20170327,0
1615,20190213,1
1616,20191023,0
1617,20190507,0
1618,20190611,0
1619,20190516,0
1620,20160128,0
1621,20190515,0
1622,20170928,0
1623,20190622,0
1624,20181208,0
1625,20190428,0
1626,20190403,0
1627,20160413,1
1628,20170706,0
1629,20190916,0
1630,20180109,0
1631,20190925,0
1632,20151229,0
1633,20190315,0
1634,20190615,0
1635,20180409,0
1636,20190617,0
1637,20190524,0
1638,20190623,0
1639,20180425,0
1640,20190811,1
1641,20190614,0
1642,20170321,0
1643,20191118,0
1644,20190719,0
1645,20161201,0
1646,20170927,0
1647,20190112,1
1648,20190428,0
1649,20200214,0
1650,20190108,0
1651,20190615,0
1652,20190804,0
1653,20191009,0
1654,20190522,0
1655,20160713,0
1656,20181009,0
