ACCOUNT,DAY_OPENED,Y_PRED
15742,20190522,
15743,20191106,
15744,20190731,
15745,20180815,
15746,20170929,
15747,20171127,
15748,20190729,
15749,20171107,
15750,20190828,
15751,20190810,
15752,20190617,
15753,20170929,
15754,20151223,
15755,20180926,
15756,20180730,
15757,20180613,
15758,20190716,
15759,20190803,
15760,20161226,
15761,20190426,
15762,20190507,
15763,20191023,
15764,20190507,
15765,20190712,
15766,20191029,
15767,20190507,
15768,20190809,
15769,20190613,
15770,20190612,
15771,20180404,
15772,20190728,
15773,20180920,
15774,20190722,
15775,20191217,
15776,20190827,
15777,20171211,
15778,20190723,
15779,20171219,
15780,20171030,
15781,20170607,
15782,20190903,
15783,20190220,
15784,20190321,
15785,20190830,
15786,20190614,
15787,20190823,
15788,20151228,
15789,20191014,
15790,20190417,
15791,20190615,
15792,20161212,
15793,20191011,
15794,20171026,
15795,20190726,
15796,20190620,
15797,20180115,
15798,20190905,
15799,20190416,
15800,20190518,
15801,20190626,
15802,20190307,
15803,20190413,
15804,20160809,
15805,20180926,
15806,20190312,
15807,20190813,
15808,20180828,
15809,20190525,
15810,20160714,
15811,20190617,
15812,20160803,
15813,20180807,
15814,20190518,
15815,20191020,
15816,20190819,
15817,20190819,
15818,20190830,
15819,20190321,
15820,20191118,
15821,20190927,
15822,20161103,
15823,20170314,
15824,20190606,
15825,20180625,
15826,20160629,
15827,20171215,
15828,20160513,
15829,20190813,
15830,20190801,
15831,20190417,
15832,20190619,
15833,20170630,
15834,20190722,
15835,20161028,
15836,20190516,
15837,20190328,
15838,20180718,
15839,20190529,
15840,20191101,
15841,20180202,
15842,20190621,
15843,20190821,
15844,20181208,
15845,20190619,
15846,20170904,
15847,20180807,
15848,20190417,
15849,20190728,
15850,20181025,
15851,20190529,
15852,20160825,
15853,20180518,
15854,20190114,
15855,20190802,
15856,20190814,
15857,20180525,
15858,20160726,
15859,20190518,
15860,20190504,
15861,20190822,
15862,20180919,
15863,20160907,
15864,20180413,
15865,20180930,
15866,20190527,
15867,20190918,
15868,20171109,
15869,20160817,
15870,20190515,
15871,20190808,
15872,20170116,
15873,20151228,
15874,20180211,
15875,20161129,
15876,20190726,
15877,20190522,
15878,20160823,
15879,20160929,
15880,20190709,
15881,20170707,
15882,20190716,
15883,20190426,
15884,20181030,
15885,20171117,
15886,20190726,
15887,20190911,
15888,20190819,
15889,20160303,
15890,20190730,
15891,20160427,
15892,20190531,
15893,20190510,
15894,20170704,
15895,20190416,
15896,20190703,
15897,20191012,
15898,20190802,
15899,20160830,
15900,20191031,
15901,20160316,
15902,20190602,
15903,20190724,
15904,20160719,
15905,20190429,
15906,20180605,
15907,20181211,
15908,20190412,
15909,20170616,
15910,20190718,
15911,20171213,
15912,20190622,
15913,20190919,
15914,20160823,
15915,20190614,
15916,20191023,
15917,20190615,
15918,20170627,
15919,20170726,
15920,20190101,
15921,20190524,
15922,20190510,
15923,20181011,
15924,20161018,
15925,20171026,
15926,20190718,
15927,20190730,
15928,20190801,
15929,20190522,
15930,20161128,
15931,20170113,
15932,20180201,
15933,20190413,
15934,20181014,
15935,20190506,
15936,20190720,
15937,20180627,
15938,20160622,
15939,20180710,
15940,20190506,
15941,20190426,
15942,20170930,
15943,20170605,
15944,20190509,
15945,20190809,
15946,20191031,
15947,20190501,
15948,20161230,
15949,20170721,
15950,20171017,
15951,20190829,
15952,20190616,
15953,20160324,
15954,20190430,
15955,20170407,
15956,20180419,
15957,20170721,
15958,20190716,
15959,20170605,
15960,20190429,
15961,20151228,
15962,20190313,
15963,20190828,
15964,20181022,
15965,20190428,
15966,20190802,
15967,20190617,
15968,20190415,
15969,20191209,
15970,20190510,
15971,20170906,
15972,20190717,
15973,20170721,
15974,20170829,
15975,20190804,
15976,20160412,
15977,20161024,
15978,20190508,
15979,20190722,
15980,20190117,
15981,20171018,
15982,20190122,
15983,20190401,
15984,20190618,
15985,20180309,
15986,20190807,
15987,20190616,
15988,20190730,
15989,20190510,
15990,20190724,
15991,20160930,
15992,20190605,
15993,20200115,
15994,20190407,
15995,20180227,
15996,20191016,
15997,20200116,
15998,20190412,
15999,20161011,
16000,20190415,
16001,20190806,
16002,20190103,
16003,20180117,
16004,20170420,
16005,20180823,
16006,20190517,
16007,20190517,
16008,20160711,
16009,20171128,
16010,20180214,
16011,20190611,
16012,20170725,
16013,20160531,
16014,20191205,
16015,20160517,
16016,20190514,
16017,20190617,
16018,20190711,
16019,20190619,
16020,20170628,
16021,20190725,
16022,20160817,
16023,20190926,
16024,20190304,
16025,20190430,
16026,20190811,
16027,20190428,
16028,20191017,
16029,20191217,
16030,20190213,
16031,20190614,
16032,20190426,
16033,20180620,
16034,20170522,
16035,20170317,
16036,20180206,
16037,20191101,
16038,20190516,
16039,20190613,
16040,20160728,
16041,20170830,
16042,20190722,
16043,20170124,
16044,20161207,
16045,20180914,
16046,20190816,
16047,20180710,
16048,20190802,
16049,20181205,
16050,20190501,
16051,20190920,
16052,20190828,
16053,20200103,
16054,20160711,
16055,20170421,
16056,20170523,
16057,20171127,
16058,20161214,
16059,20160427,
16060,20190130,
16061,20160816,
16062,20180727,
16063,20190825,
16064,20190304,
16065,20180523,
16066,20160612,
16067,20170308,
16068,20190312,
16069,20180529,
16070,20190614,
16071,20180222,
16072,20160921,
16073,20190814,
16074,20180614,
16075,20170105,
16076,20190607,
16077,20180827,
16078,20190709,
16079,20180611,
16080,20190606,
16081,20190625,
16082,20190622,
16083,20190506,
16084,20190729,
16085,20190614,
16086,20191112,
16087,20170918,
16088,20160714,
16089,20180315,
16090,20170629,
16091,20190718,
16092,20191111,
16093,20190510,
16094,20190827,
16095,20190509,
16096,20170713,
16097,20160627,
16098,20190124,
16099,20160908,
16100,20180104,
16101,20190728,
16102,20161013,
16103,20160331,
16104,20190409,
16105,20190625,
16106,20190823,
16107,20190510,
16108,20180201,
16109,20190622,
16110,20190619,
16111,20190313,
16112,20161018,
16113,20180327,
16114,20180816,
16115,20190717,
16116,20190918,
16117,20191024,
16118,20161207,
16119,20171114,
16120,20180517,
16121,20190618,
16122,20161028,
16123,20160607,
16124,20180702,
16125,20171031,
16126,20190308,
16127,20190927,
16128,20190516,
16129,20160704,
16130,20190803,
16131,20180802,
16132,20190103,
16133,20180923,
16134,20190822,
16135,20200114,
16136,20181217,
16137,20191030,
16138,20190616,
16139,20190617,
16140,20190617,
16141,20180131,
16142,20170728,
16143,20160728,
16144,20161027,
16145,20181012,
16146,20181220,
16147,20190413,
16148,20181008,
16149,20160504,
16150,20160712,
16151,20181203,
16152,20160126,
16153,20181105,
16154,20151130,
16155,20170322,
16156,20190616,
16157,20190716,
16158,20190927,
16159,20190611,
16160,20190509,
16161,20190627,
16162,20190717,
16163,20190613,
16164,20190725,
16165,20180709,
16166,20160630,
16167,20190807,
16168,20190507,
16169,20171117,
16170,20160621,
16171,20181030,
16172,20190401,
16173,20191114,
16174,20190329,
16175,20190616,
16176,20190505,
16177,20160414,
16178,20181226,
16179,20190301,
16180,20171116,
16181,20180227,
16182,20190516,
16183,20190111,
16184,20190516,
16185,20170922,
16186,20190628,
16187,20190516,
16188,20200214,
16189,20190516,
16190,20190624,
16191,20161013,
16192,20190623,
16193,20160420,
16194,20171012,
16195,20181117,
16196,20160906,
16197,20190708,
16198,20190726,
16199,20170823,
16200,20191125,
16201,20191212,
16202,20190606,
16203,20181023,
16204,20180110,
16205,20170815,
16206,20181008,
16207,20190813,
16208,20180619,
16209,20161128,
16210,20190129,
16211,20190723,
16212,20190819,
16213,20170518,
16214,20191208,
16215,20170328,
16216,20180919,
16217,20190518,
16218,20190630,
16219,20190802,
16220,20190530,
